X,Y,POINT_X,POINT_Y,dtm10mUTM3
637995.25903787627,5102084.9669985324,637995.25903800002,5102084.96700000020,668.00000
641265.12375545991,5104427.0553161185,641265.12375499995,5104427.05532000030,1344.00000
633551.0494783445,5112748.5738957804,633551.04947800003,5112748.57390000020,1847.00000
637205.85558444634,5105364.0960871354,637205.85558400000,5105364.09609000010,1436.00000
633677.489933779,5101622.2003782587,633677.48993399995,5101622.20038000030,927.00000
635885.8419841323,5096950.986705916,635885.84198400006,5096950.98670999990,1371.00000
639649.4344110497,5112599.2074808134,639649.43441099999,5112599.20748000030,1744.00000
632495.66987760761,5102004.839997828,632495.66987800004,5102004.83999999990,616.00000
635467.50062496681,5109590.1842913469,635467.50062499999,5109590.18429000020,741.00000
640501.37100786273,5102610.188097693,640501.37100799999,5102610.18809999990,715.00000
639993.8100561609,5101174.049082662,639993.81005600002,5101174.04908000030,776.00000
641302.06455781474,5095684.5540222749,641302.06455799995,5095684.55401999970,676.00000
634403.6802725594,5105388.3503724076,634403.68027300003,5105388.35037000010,840.00000
634839.51550180465,5112556.2494674977,634839.51550199999,5112556.24947000020,1227.00000
638902.77021019463,5099474.2278307732,638902.77020999999,5099474.22783000020,1030.00000
631839.50104681368,5111917.29654333,631839.50104700006,5111917.29653999950,2069.00000
638554.91128281388,5102397.184987084,638554.91128300002,5102397.18499000000,838.00000
640993.48583130003,5100571.7159229377,640993.48583100003,5100571.71592000030,1119.00000
641593.94159619126,5104041.3672991088,641593.94159599999,5104041.36730000000,1596.00000
637880.28123798617,5105671.5360161662,637880.28123800003,5105671.53602000050,1740.00000
635740.96181698539,5105839.0764563736,635740.96181699994,5105839.07646000010,1308.00000
640923.60156418697,5096916.5749173239,640923.60156400001,5096916.57491999960,669.00000
635229.38601435092,5112501.3755494058,635229.38601400005,5112501.37555000000,1031.00000
635706.16965650604,5105168.3170982096,635706.16965699999,5105168.31709999960,1490.00000
630985.32130114874,5112915.1462830305,630985.32130099996,5112915.14628000000,1547.00000
638346.24100199563,5100181.5797529509,638346.24100200005,5100181.57974999960,819.00000
630511.35987349297,5111688.8822997659,630511.35987299995,5111688.88229999970,1687.00000
638836.62494733662,5104027.8644223837,638836.62494699995,5104027.86442000050,1642.00000
639373.39367083437,5095266.653379784,639373.39367100003,5095266.65338000000,1392.00000
634026.57843704626,5107035.6674409099,634026.57843700005,5107035.66744000000,701.00000
630272.799440859,5106281.338556597,630272.79944099998,5106281.33856000010,1157.00000
633276.4467762867,5109650.5057987664,633276.44677599997,5109650.50580000040,1611.00000
632935.89925691916,5098095.5842946582,632935.89925699995,5098095.58428999970,668.00000
636020.76822114713,5113991.6405875208,636020.76822099998,5113991.64059000000,790.00000
631418.31273019011,5110209.8842594698,631418.31273000001,5110209.88425999970,2078.00000
639657.19917868008,5098229.9052811004,639657.19917899999,5098229.90527999960,1024.00000
631520.97654463316,5107287.2696225811,631520.97654499998,5107287.26962000040,1481.00000
639019.07505139557,5097355.6764299013,639019.07505099999,5097355.67643000000,1278.00000
640530.88673899812,5097349.0682167551,640530.88673899998,5097349.06821999980,732.00000
638985.76143459778,5104898.4903254053,638985.76143499999,5104898.49033000040,1324.00000
633404.73668629641,5100497.3698234558,633404.73668600002,5100497.36981999970,571.00000
641023.462281883,5097293.7508415449,641023.46228199999,5097293.75083999990,680.00000
639914.46901882975,5097790.3965299651,639914.46901899995,5097790.39652999960,891.00000
633226.41143649048,5113473.8794311481,633226.41143600002,5113473.87942999970,1444.00000
631950.75212570315,5111460.2087931912,631950.75212600001,5111460.20878999960,2029.00000
634249.18511386123,5112349.1330561321,634249.18511399999,5112349.13305999990,1573.00000
638789.29791151604,5102520.4019753858,638789.29791199998,5102520.40197999960,843.00000
640286.59139001544,5100563.0906715626,640286.59138999996,5100563.09066999980,1267.00000
635785.96664421819,5110230.4494762365,635785.96664400003,5110230.44948000000,739.00000
635822.6908519729,5114737.7605292629,635822.69085200003,5114737.76052999960,957.00000
639684.23508028523,5095306.02815706,639684.23508000001,5095306.02816000020,1354.00000
635583.51567593601,5102406.8256240785,635583.51567600004,5102406.82562000030,946.00000
642751.2742143746,5097186.0199731747,642751.27421399998,5097186.01996999980,598.00000
631934.79736707336,5112443.5118171517,631934.79736700002,5112443.51181999970,2020.00000
633031.59113885858,5107608.7245381474,633031.59113900003,5107608.72453999990,1474.00000
629500.70045679004,5100455.6059037596,629500.70045700006,5100455.60589999980,1767.00000
635663.68505487824,5102666.0172438547,635663.68505500001,5102666.01724000000,1057.00000
637836.01382684056,5113726.185990084,637836.01382700005,5113726.18599000010,1407.00000
632285.3446526411,5099969.3089481182,632285.34465300001,5099969.30895000040,825.00000
639158.78844245966,5104758.838990517,639158.78844200005,5104758.83899000010,1325.00000
633782.64492020058,5113260.3321468867,633782.64491999999,5113260.33215000010,1627.00000
642142.19181221887,5103747.1604190264,642142.19181200000,5103747.16041999960,1545.00000
637204.79164609103,5106792.5133448141,637204.79164600000,5106792.51334000010,1735.00000
636002.5153383651,5103713.8884798475,636002.51533800003,5103713.88848000020,1332.00000
635290.40133548912,5098397.5617439374,635290.40133499994,5098397.56173999980,791.00000
640134.04667080764,5100806.7064475138,640134.04667099996,5100806.70645000040,1158.00000
639591.72058122419,5104667.704215657,639591.72058099997,5104667.70421999970,1086.00000
632979.33250442019,5112703.0982301719,632979.33250400005,5112703.09822999970,1768.00000
636829.85786069697,5106296.7794407019,636829.85786100000,5106296.77943999970,1760.00000
630741.47854544583,5112441.0175231909,630741.47854499996,5112441.01752000020,1559.00000
636724.98245416256,5106841.5169797326,636724.98245400004,5106841.51697999980,1583.00000
635721.34755588218,5102940.4981956724,635721.34755599999,5102940.49820000030,1121.00000
635322.22642519441,5113405.3429501671,635322.22642500000,5113405.34295000040,768.00000
636597.38046235149,5109343.4390567811,636597.38046200003,5109343.43905999980,898.00000
638576.72832107497,5101236.4408794651,638576.72832100000,5101236.44087999970,496.00000
633991.29770220653,5100115.2218090948,633991.29770200001,5100115.22181000000,535.00000
642285.67305121897,5098371.6712816888,642285.67305099999,5098371.67128000040,617.00000
633138.13912547345,5096803.0894811591,633138.13912499999,5096803.08947999960,1099.00000
635797.77416057512,5106938.7575993864,635797.77416100004,5106938.75760000010,1133.00000
640172.26243710693,5098049.5573275238,640172.26243700006,5098049.55733000020,835.00000
636224.55773715931,5105435.922331023,636224.55773700005,5105435.92233000040,1598.00000
630944.37028621719,5103091.2293843478,630944.37028599996,5103091.22938000040,1072.00000
639294.35699856956,5103491.1709490903,639294.35699899995,5103491.17095000020,1419.00000
637584.98014243261,5104927.7533871727,637584.98014200001,5104927.75339000020,1489.00000
634831.05994137144,5099122.5357298674,634831.05994099996,5099122.53572999970,573.00000
636675.18287276081,5112500.1118439175,636675.18287300004,5112500.11184000040,817.00000
633067.41564200784,5111462.4361227006,633067.41564200004,5111462.43611999970,2197.00000
629770.16149784706,5102030.4082043935,629770.16149800003,5102030.40820000040,1619.00000
634864.50219604373,5106980.0001996513,634864.50219599996,5106980.00019999970,662.00000
641918.38909198903,5104013.7586036194,641918.38909199997,5104013.75860000030,1689.00000
637737.81679858326,5109019.2542282064,637737.81679900002,5109019.25423000010,1461.00000
631668.02179913619,5112526.3798769955,631668.02179899998,5112526.37987999990,1934.00000
631683.17284685385,5104764.9775219662,631683.17284699995,5104764.97752000020,1309.00000
634365.11634853086,5109469.3019728474,634365.11634900002,5109469.30197000040,1218.00000
637027.4462628623,5104848.6488286033,637027.44626300002,5104848.64883000030,1417.00000
637942.08927659434,5099162.0298637757,637942.08927700005,5099162.02986000010,1321.00000
636312.31592913275,5100438.7731458237,636312.31592900003,5100438.77314999980,498.00000
631314.1261337105,5107715.913095017,631314.12613400002,5107715.91309999950,1762.00000
637834.28187981294,5098965.6205330528,637834.28188000002,5098965.62053000000,1411.00000
637697.49954996957,5107164.1797486786,637697.49954999995,5107164.17975000010,1746.00000
640742.25112641498,5104147.6711301012,640742.25112599996,5104147.67112999970,929.00000
632991.54749653372,5106401.2400331991,632991.54749699996,5106401.24003000000,1113.00000
